Word,POS,Definition
กรง,น.,"๑. ชื่อนกขนาดเล็ก มีหลายชนิด ชนิดที่มีจุก เชิดแหลมบนหัวเรียก ""กรงหัวจุก จุกหลอ หรือ ปรอดจุก"" ชนิดตัวโต ขนสีเทาเรียก “กรงแม่พะ”, ชนิดเล็กกว่ากรงแม่พะ ไม่มีจุกบนหัวเรียก ""กรงดอกแตง"""
กรงแกร็ง,น.,นกกรงตัวสีเทาขนาดเท่านกกรงหัวจุก แต่ไม่มีจุกบนหัว
กรงหน้าลาย,,ก็เรียก.
กรงหน้านวล,น.,นกกรงตัว สีน้ำตาล ขนแก้มขาว.
"๒. กระสอบ เช่น “เสด็จขึ้นปรางมาศปราสาทเตย เอาเศียรเกยสอบกรงแล้วร้องสั่ง"" (กลอนหนังตะลุง). ๓. กรง, สิ่งที่ทำเป็นซี่ ๆ สำหรับขังนก เป็นต้น ตั้งอยู่กับที่หรือยกไปได้.",,
กรงกราด,น.,สุ่มขังไก่ชนสานด้วยไม้ไผ่
กรงตราด (ส.ฎ.),,ก็เรียก.
กรงหมี,น.,ห้องขังที่สถานีตำรวจ
คอกหมี,,ก็เรียก.
"ว. ตรง เช่น ยืนกรง - ยืนตรง, เดินกรง - เดินตรง.",,
กรงเหมา,น.,ชื่อพืชสมุนไพรชนิดหนึ่ง หัวใช้ทำยา
กรุงเหมา,,ก็เรียก.
กรงไหน,น.,ชื่อไม้ต้น คล้ายต้นไข่เน่า.
กรด,น.,๑. น้ำกรด
น้ำไฟ,,ก็เรียก.
"๒. ชื่อไม้เถา มักขึ้นในที่น้ำท่วม เช่น ตามฝั่งน้ำลำคลอง ใบโดยมากออกรอบข้อ ๒ หรือ ๓ ใบ ใบอ่อนสีม่วงดำ เมื่อแก่เปลี่ยนเป็นสีเขียว ผลมีสันแข็งเป็น ๔ - ๕ ครีบ. ว. ๑. จัดจ้าน, ดื้อรั้น, กล้าแข็ง เช่น แด็กคนนี้กรดจ้านด่าเพื่อนทั้งวัน - เด็กคนนี้จัดจ้านมาก ด่าเพื่อนทั้งวัน",,
กล็อด,,ก็ว่า.
ว. ๒. ข้อเท้าพิการต้องใช้ปลายเท้าจรดเดิน เรียกว่า ตีนกรด,,
ตีนตรด,,ก็ว่า.
กรน,น.,กระสวย (ดู ตรน
กรน,น.,๑.).
กรม,ว.,"ตรมตรอม, เป็นทุกข์."
กรมใจ,ก.,"ตรมใจ, ระทม, เจ็บอยู่ภายในเรื่อยไป."
กรมหนอง,ว.,กลัดหนอง
"กรมแผล, เคี่ยวหนอง",,ก็ว่า.
กรวก,ก.,"๑. จวก, สับ, ฟัน เช่น กรวกดิน - ฟันดิน."
กรวก,ก.,ผ่าไม้ออกเป็นชิ้นเล็ก ๆ (ดู เตรียก
กรวก,ก.,).
กรวกคอ,ก.,กลั้วคอ
กรวด,น.,"๑. กรวดทราย, ก้อนหินเล็ก ๆ."
กรวด,น.,ดอกไม้ไฟชนิดหนึ่ง
ตรวด,,ก็เรียก.
๓. ของเด็กเล่นอย่างหนึ่ง ใช้ใบเตยทำเป็นรูปอย่างจรวด ใช้พุ่งไปในอากาศ. ๔. น้ำตาลที่เป็นก้อนแข็งเหมือนกรวด. ก. ๑. ตรวจตรา,,
กรวดกรา,,ก็ว่า.
"ก. ๒. รดน้ำเพื่อชำระแผล. ว. สูง, ชัน เช่น หลังคากรวด - หลังคาทรงสูง.",,
กรวดกรา,ก.,ตรวจตรา (ดู กรวด
กรวดกรา,ก.,๑.).
กรวน,น.,"๑. โซ่ตรวน, เครื่องจองจำนักโทษชนิดหนึ่ง เป็นห่วงเหล็กใช้สวมขานักโทษ มีโช่ล่ามถึงกัน"
ตรวน,,ก็เรียก.
"๒. กระต่ายขูดมะพร้าวแบบจีน. ก. ๑. ไสไป, ดันไป",,
"กรูน, ตรูน",,ก็ว่า.
ก. ๒. ขูดด้วยกระต่ายขูดมะพร้าวแบบจีน.,,
กรวบ,ว.,"๑. เปราะ, กรอบ."
กรวบ,ว.,ถนัดถนี่ เช่น เอาให้กรวบเลย.
กรวบ,ว.,เสียงดังเช่นนั้น.
กรวม,ก.,"สวม, คร่อม, ครอบ เช่น นุ่งผ้ากรวมอก - นุ่งผ้ากระโจมอก"
"กรอม, กลวม, ตรวม, อวม",,ก็ว่า.
กรวมกราม,ก.,ทำละลาบละล้วง.
กรวมคอ,ก.,"คร่อมคอ,"
กรวมคอ,สำ.,หาเรื่องใส่ตัว.
กรวมง่าม,สำ.,สองแง่สองมุม.
กรวมเงี่ยง,น.,"ที่สวมเดือยไก่ชน,"
กรวมเงี่ยง,สำ.,ลับ ๆ ล่อ ๆ.
กรวมชาย,ว.,"นุ่งผ้ายาวระพื้น, กรวมเท้า เช่น นุ่งผ้ากรวมชาย"
กรวมเชิง,,ก็ว่า.
กรวมตอ,ก.,"นุ่งผ้ากระโจมอก.,"
กรวมตอ,สำ.,เชื่อว่าไม่ดี เป็นอัปมงคล เช่น ปลูกเรือนกรวมตอ หมายถึง การรับหญิงที่มีครรภ์กับชายอื่นมาเป็นกรรยา.
กรวมตา,ก.,"สอดส่ายสายตา, ตรวจสอบใหม่."
กรวมทุ่ง,สำ.,วางอำนาจ.
กรวมน้ำกรวมบก,สำ.,"ครึ่ง ๆ กลาง ๆ, สะเทินน้ำสะเทินบก."
กรวมบวง,สำ.,ทำใหญ่เกินตัว.
กรวมเบาะ,สำ.,ยังเยาว์วัย.
กรวมแบบ,ว.,ผิดแบบอย่าง.
กรวมพร,ก.,"สรวมพร, ขอพร."
กรวมย่าง,ก.,"๑). สวมรอย., ๒). พลอยผสมโรง.,"
กรวมย่าง,สำ.,วัดรอยเท้า.
กรวมอก,ก.,นุ่งผ้ากระโจมอก.
กรวย,น.,ชื่อไม้ต้นชนิดหนึ่ง (ดู หัน
กรวย,น.,).
กรอ,น.,ชื่อไม้น้ำชนิดหนึ่ง ใบเป็นหยัก ลำต้นเป็นปล้อง มีรสขมนิด ๆ ใช้เป็นผักรับประทานได้ (น.ศ.).
กรอ,ก.,๑. ม้วนด้ายหรือเชือกเข้าหลอดหรือเข้ารอบแกนด้วยไนหรือเครื่องจักร.
กรอ,ก.,"ตกแต่งให้ได้รูปทรงตามต้องการ เช่น กรอฟัน, กรอหิน, กรอไม้."
กรอ,ก.,ติดกรัง เช่น หนิมกรอ - สนิมจับกรัง.
กรอ,ก.,"พันโดยรอบ, เกาะแน่น เช่น ย่านเชือกกรอต้นโหนด - เถาวัลย์พันรอบต้นตาล."
กรอ,ว.,"๑. แน่นขนัด, มากยิ่ง เช่น คนมากันกรอ, คนติดกรอ, เลือดพุ่ง กรอ, น้ำไหลกรอ."
กรอ,ว.,เสียงดังเช่นนั้น.
กร่อ,น.,"หุบห้วย, ลำธารเล็กแคบ ๆ ตลิ่งสูง."
กร้อ,น.,"๑. ตะกร้อ, ลูกกลมสานด้วยหวายหรือพลาสติก เป็นตา ๆ สำหรับเตะ"
"กะตร้อ (น.ธ.), ตร้อ",,ก็เรียก.
"๒. เกราะ, เครื่องสัญญาณทำด้วยไม้ใช้ตี หรือสั่นให้ดัง",,
"เกราะ, เหลาะ, หลอ, โละโขะ",,ก็เรียก.
"๓. เครื่องมือสอยผลไม้ (ดู กรอม น. ๒). ก. กลิ้ง, โคลง, กลอกกลิ้ง เช่น เรือกร้อ หรือเรือกล้อ, ถังกร้อ. ว. เฉาตาย (พืช) เพราะถูกน้ำท่วมราก",,
เตราะ,,ก็ว่า.
กรอก,น.,"๑. ตรอก, ทางที่แยกมาจากถนนใหญ่และมีขนาดเล็กกว่าถนน"
ตรอก,,ก็เรียก.
"๒. ลูกกรอก, ลูกคนหรือลูกสัตว์มีแมว เป็นต้น ที่ตายตั้งแต่อยู่ในครรภ์หรือในท้อง มีร่างกายครบสมบูรณ์ แต่มีขนาดเล็ก. ๓. การเล่นโยนหลุม",,
"ตรอก, ทอยกรอก, ทอยตรอก",,ก็เรียก.
"๔. ชื่อขนมชนิดหนึ่ง กรอง-กระแจ (ดู กลอก น.). ๕. ชื่อนกกระยางขนาดเล็ก (ดู กรอด น. ๒.). ก. ๑. กรอก, เทของลงในช่องหรือรูแคบ ๆ เช่น กรอกน้ำใส่ขวด",,
ตรอก,,ก็ว่า.
"ก. ๒. กรอกข้อความ. ๓. กลับกลอก, กลอกกลิ้ง.",,
กรอง,น.,"กระชอน, เครื่องกรอง โดยปกติสานด้วยผิวไม้ไผ่ใช้กรองกะทิ เป็นต้น"
"กะสฺตฺรอง, กะสฺตฺรองพร้าว, กะสอง, กะตรอง (น.ธ.), กือตรอง, ตะกรองพร้าว (ป.น.)",,ก็เรียก.
"ก. ๑. ถัก เช่น กรองฟาก - เอา เชือกถักฟาก. ๒. ไตร่ตรอง, คิดทบทวน, ตริตรอง ๓. กรอง, แยก ของละเอียดออกจากของหยาบ หรือคัดของบริสุทธิ์ออกจากของไม่บริสุทธิ์",,
ตรอง,,ก็ว่า.
กร็องกรอย,ก.,"ตกอับ, แร้นแค้น (ดู กรกกรอย)."
กร้องแกร้ง,ว.,ทำท่าเจ้าชู้ (ดู กล้องแกล้ง
กร้องแกร้ง,ว.,๑.).
กรอด,น.,๑. ชื่อมดชนิดหนึ่ง ตัวเล็ก สีดำ ชอบทำรังอยู่บนต้นไม้นิยมเอามาเป็นเหยื่อล่อปลา
"จอด, ตรอด",,ก็เรียก.
"๒. นกกระยางกรอก, ชื่อนกกระยางขนาดเล็ก",,
"นกยางกรอก, ยางกรอด, หรอด",,ก็เรียก.
"ว. ๑. ปลอด, ปราศจาก เช่น กรอดแคล้ว - ปลอดแคล้ว, ปลอดภัย. ๒. เสียงดังเช่นนั้น.",,
