Word,Alternative Forms,POS,Definition
"กุ้งฝอย, กุ้งเคย, กุ้งรำ, กุ้งสารส้มโอ",ก็เรียก.,,
กุ้งเสียบ,,น.,น. กุ้งที่นำมาเสียบด้วยไม้ตากแห้ง หรือรมควันไฟโดยไม่ปอกเปลือก
กุ้งย่าง,ก็เรียก.,,
กุ้งหลวง,,น.,น. กุ้งก้ามกราม.
๒. ชื่อปาล์มจำพวกหวายชนิดหนึ่ง กอขนาดใหญ่ ชอบขึ้นเกาะเกี่ยวกับต้นไม้ใหญ่ ลำหวายเป็นสีน้ำตาลแดงหุ้มโดยรอบ. ๓. ชื่อกล้วยชนิดหนึ่ง (ดู กล้วยกุ้ง).,,,
กุงกิง,,น.,น. กางเกง (ดู กงเกง).
กุงเกิง,,น.,น. กางเกง (ดู กงเกง).
กุ้งเต้น,,น.,น. สัตว์ตัวเล็ก ๆ ชนิดหนึ่ง (Orchestia agilis) ในวงศ์ Talitridae คล้ายทาก ดีดเก่ง ชอบอยู่ในที่ชื้นแฉะ.
กุ้งปลา,,น.,"น. ชื่อการพนันชนิดหนึ่ง ใช้ลูกเต๋าที่มีแกนกลางสำหรับหมุนมี ๔ หน้า ประกอบด้วยรูปกุ้ง ปลา แมงดาทะเล และดอกไม้ ซึ่งเรียกเป็นภาษาจีนว่า หือ แห ฮ่าว ฮั้ว วิธีเล่นจะหมุนลูกเต๋าในจาน ใช้ถ้วยครอบเช่นเดียวกับไฮโล (ภ.ก.,พ.ง.)"
"อี้กุ้งอีปลา, อี้ฝัด",ก็เรียก.,,
กุด,,น.,"น., บึง, ลำน้ำที่ปลายด้วน., กุฏิ, เรือนสำหรับพระภิกษุสามเณรอยู่., ก. ตัด., ว. ด้วน, เหี้ยนไป."
กุดัง,,น.,"น., โรงเก็บสินค้าหรือสิ่งของ เป็นต้น (ม. gudang)"
"โก้ดัง, กู่ล้าง (ภ.ก.)",ก็เรียก.,,
"๒. รถบรรทุกขนาดใหญ่ชนิดหนึ่ง เรียก ""รถกุดัง"". ๓. ตู้รถไฟบรรทุกสินค้าโดยเฉพาะ.",,,
กุดี,,ลัก.,"ลัก. กุลี (ดู กุหลี, ลัก.)."
กุน,,น.,"น., มดลูก, อวัยวะภายในอันเป็นที่ตั้งครรภ์"
สกุ๋น (น.ธ.),ก็เรียก.,,
"๒. พิกุล, ชื่อไม้ต้น กลีบดอกจักรแหลม กลิ่นหอมและหอมอยู่จนแห้ง ใช้ทำยาได้. ๓. ชื่อปีที่ ๑๒ ของรอบปีนักษัตร มีหมูเป็นเครื่องหมาย. ก. กุ๊น, ขลิบเย็บหุ้มริมผ้าหรือของอื่น ๆ ใช้แถบผ้าย้วยหรือเฉลียงเย็บหุ้ม ๒ ข้าง เม้มเข้าเป็นตะเข็บกลมบ้าง แบนบ้าง มักใช้ที่คอเสื้อหรือชายเสื้อ เป็นต้น.",,,
กุ่นเฉียง,,น.,"น. กุนเชียง (จ., ภ.ก., พ.ง.)."
กุ่นซื้อ,,น.,"น. กุนซือ, ที่ปรึกษา (จ., ภ.ก., พ.ง.)."
กุนหนี,,น.,"น. บานไม่รูโรย, ชื่อไม้ล้มลุกลำต้นค่อนข้างแข็ง แตกแขนงเป็นพุ่มเล็ก ๆ ดอกกลมสีขาว ชมพู หรือม่วงแดง"
"กอระหนี, การะหนี, ตระหนี, กุนหยี, กุนหลี, ต้นสามฤดู, สามเดือน",ก็เรียก.,,
กุนี,,น.,น. กระสอบป่าน (ดู ยู่หนี).
กุบ,,น.,"น. กล่อง, ตลับ, อับ เช่น ยาเส้นอยู่ในกุบ - ยาเส้นอยู่ในกล่อง"
กะกุบ (ช.พ.),ก็เรียก.,,
ก. ยักยอก. ว. ลักษณะของเขาวัวหรือเขาควายที่ปลายโก่งเข้าหากันจนเกือบชิด เรียก เขากุบ.,,,
กุบกับ,,น.,"น. ชื่อการเล่นอย่างหนึ่งโดยใช้กะลามะพร้าวตัวผู้ ๒ ลูก โยงด้วยเชือกใช้เดินแทนรองเท้า., ว., อาการที่รีบทำอย่างลุกลน (ดู ลกลก)., ยุ่ง เช่น อย่ามากุบกับนักที - อย่ามายุ่งนักเลย (ส.ฎ.)."
กุโบ,,น.,น. ที่ฝังศพผู้นับถือศาสนาอิสลาม.
กุม,,น.,"น. ต้นทุ่ม, ชื่อไม้ต้น ใบเป็นใบประกอบมีใบย่อย ๓ ใบ ดอกเป็นช่อ กลีบดอกสีขาวแล้วกลายเป็นสีเหลือง ผลกลมหรือรูปไข่ ผิวนอกแข็งและสาก ๆ สีเขียวนวล., ก. ถือ, จับ, เกาะ, ฉวย เช่น อย่ากุมมือ - อย่าจับมือ"
กุ้มกำ,,น.,น. ลูกกวาด (ดู กรุมกรำ).
กุมเท่า,,ว.,"ว. ตราบเท่า (ดู คุม, ว.)."
กุมหรา,,น.,"น. ความเอาใจใส่, ความสนใจ (ดู จะหรา, น.)."
กุย,,น.,"น. ลักษณะเป็นขุยตามตัวเวลาผิวหนังแห้ง., ก. ตะกุยตะกาย."
กุ่ย,,ก.,"ก. ทำความเคารพด้วยการคุกเข่าและก้มศีรษะลง พร้อมแบฝ่ามือแตะพื้นคล้ายกราบพระ., ว. แพง (จ.,ภ.ก.)."
กุ้ย,,ว.,"ว. กี่, เท่าไหร่ (ดู กี๊, ว., )."
กุ้ยฉี,,น.,น. ฝี (ดู ฝีชี่).
กุ๊ยต่าว,,น.,น. ถั่วแขก (ดู อ่อกุ้ยต่าว).
กุ่ยเล้ง,,น.,"น. หมวกสานของจีน รูปกรวย (ดู เปี้ยว, น., )."
กุ้ยหนี่,,น.,"น. ผลไม้ชนิดหนึ่งมีผลคล้ายมะม่วง เปลือกผลหนาและหยาบ รสหวาน กลิ่นหอม (ป.น.,, น.ธ.)."
กุรี,,น.,น. ไหขนาดใหญ่ ปากแคบ (น.ธ.)
"กะรี, ไหแมงภู่",ก็เรียก.,,
กุหนี,,น.,น. กระสอบป่าน (ดู ยู่หนี).
กุหมัง,,น.,น. เสือดำ (ดู ค้างคูด). .
กุหมาน,,น.,"น. กุมาร, เด็ก, รูปหนังตะลุงเด็ก (ภ.ก.)."
กุหรง,,น.,น. คอกในเฝือกรั้ว.
กุหรัง,,น.,"น. ความเอาใจใส่, ความสนใจ (ดู จะหรา, น.)., ว., ไม่เต็มที่, เสื่อมคุณภาพ., เกินเหตุ, เหลือเกิน เช่น ขี้ชิดกุหรัง - ขี้เหนียวเหลือเกิน (น.ศ.)"
กุหรา,,น.,"น. ความเอาใจใส่, ความสนใจ (ดู จะหรา, น.)."
กุหลิบกุหลิบ,,ก.,"ก. อาการกะพริบตาบ่อย ๆ (ดู ปริบ, ก.)."
กุหลี,,น.,"น., คนรับจ้างที่ใช้แรงงาน (เทียบ ม. kuli)., ชื่อขนมชนิดหนึ่งทำด้วยข้าวเหนียวนึ่งหั่นเป็นชิ้นมีน้ำตาลโตนดเคี่ยวราดหน้า"
กอหลี,ก็เรียก.,,
ลัก. กุลี ผ้า ๑ กุลี เท่ากับ ๒๐ ผืน,,,
กุดี,ก็ว่า.,,
กุเหฺล,,น.,น. กะหล่ำปลี (ดู โก่เหล่ฉ่าย).
กู,สรรพ. ใช้แทนตัวผู้พูด.,,
กูณิเณร,,สำ.,สำ. เป็นคำพูดแสดงตนให้เห็นว่าเป็นผู้มีอำนาจเพื่อให้ผู้อื่นเกรงใจและยุติปัญหา.
กู่,,น.,"น., น้องชายหรือพี่ชายแม่ (จ., ภ.ก., พ.ง.)."
กู่ก้อง,,น.,น. พี่ชายหรือน้องชายของยาย.
๒. เลื่อย.,,,
กู้,,น.,"น., ขนมเต่า., เต่า (จ., ภ.ก., พ.ง.)., ก. กู่, ตะโกน (ดู กุ, ก., )."
กูก,,ก.,"ก. กู่, ตะโกน (ดู กุ กุ., )."
กู๊ฉ่าย,,น.,"น. กุยช่าย (จ., ภ.ก., พ.ง.)."
กูด,,น.,"น., หางเสือเรือ เช่น น้ำเชี่ยวถือกูดให้ชับ - น้ำเชี่ยวถือหางเสือให้มั่น"
ตะกู๊ด (น.ธ.),ก็เรียก.,,
๒. ชื่อเฟินหลายชนิด เช่น ผักกูดขม ผักกูดช้าง ผักกูดดำ ผักกูดป่า ผักกูดหางนก ผักกูดนา บางชนิดกินได้. ๓. เครื่องมือเกี่ยวข้าวคล้ายเคียว ด้ามสั้น และคด (ดู กรูด น. ๒.). ว. หยิก (ผม) เช่น เด็กนี้ผมกูด - เด็กนี้ผมหยิก,,,
กรูด,ก็ว่า.,,
กู้ดถาว,,น.,"น. ซี่โครง (จ., ภ.ก.)."
กู๋น,,น.,น. เสื้อและกระโปรงที่เย็บติดเป็นเนื้อเดียวกัน
"ขู่น (จ., ภ.ก., พ.ง.)",ก็เรียก.,,
กูปิ,,ก.,ก. ตระหนี่ (ดู ขี้ชิด).
กู่ล้าง,,น.,"น. โกดัง (ดู กุดัง, น., )."
กูล้าเล่,,น.,"น. ฝอยเหล็กขัดหม้อ (ดู ขี้เหล็ก, น., )."
กู่หลาง,,น.,"น. คนเก่าคนแก่ (จ., ภ.ก.)."
เก,,น.,"น., กี่, เครื่องทอผ้า."
เกตุก,,น.,"น. กี่กระตุก, เครื่องทอผ้าชนิดหนึ่งที่มีสายกระตุกเพื่อให้กระสวยพุ่งไปได้เอง."
"๒. คานรองรับท่อนซุง สำหรับเลื่อยไม้ด้วยมือ. ก. เกเร. ว. ๑. เฉ, ไม่ตรง. ๒. เพิ่มขึ้น ใช้ในวงการพนัน. ๓. ดัดแปลง",,,
"เก้ (ภ.ก., พ.ง.)",ก็ว่า.,,
เก่,,ว.,"ว. มาก, เกิน (จ., ภ.ก.)."
เก้,,น.,"น., ชื่อการเล่นชนิดหนึ่งของเด็ก เช่น เก้หยบ - ซ่อนหา, เก้จับ - ไล่จับ, เก้วง, เก้ยิก, เก้น้ำ เป็นต้น"
เข้,ก็เรียก.,,
๒. ของปลอม (ภ.ก.).,,,
เก้ซี่,,ก.,"ก. แกล้งทำ, ทำแกล้ง (ภ.ก., พ.ง.)."
"๓. ไก่ (จ., ภ.ก.).",,,
เก่หนึ่ง,,น.,น. ไข่ไก่.
เก่หนึ่งโก้,,น.,น. ขนมไข่ ทำคล้ายขนมเค้ก แต่ขนาดเล็กกว่า.
เก่หม่อเฉ้ง,,น.,น. ไม้กวาดขนไก่.
เก่หล้าง,,น.,น. เข่งขังไก่.
ว. ดัดแปลง (ดู เก ว. ๓.).,,,
เกก,,ก.,"ก., อาการที่ถูกกดดันในอารมณ์อย่างมาก คั่งแค้นแต่ไม่สามารถพูดหรือแสดงออกมาได้, ความ อัดอั้นตันใจที่ไม่สามารถระบายได้, การพยายามเก็บอาการเอาไว้จนรู้สึกเกร็ง, การกันไม่ให้คู่ต่อสู้ ได้แต้มในการเล่นไพ่ โดยการไม่ยอมทิ้งไพ่ที่คาดว่าจะทำให้คู่ต่อสู้ได้แต้ม., วางท่า, วางมาด (จ.,ภ.ก.,พ.ง.)."
เก๊กซิ้ม,,ก.,"ก. หนักใจ, ไม่สบายใจ (ดู แก๊กซิ้ม)."
เก๊กฮั้ว,,น.,"น. ดอกเก๊กฮวยเมื่อนำเอามาตากแห้งแล้วใส่น้ำชงกับใบชาหรือต้มกับน้ำตาลใช้ดื่มแก้กระหาย (จ., ภ.ก.)."
เก่ก้าง,,ว.,"ว. ป่วยการ, ทำงานกิน (จ., ภ.ก.)."
เก้ก่าว,,ก.,"ก. เซ้าซี้, เรื่องมาก, จู้จี้ เช่น คุณอย่ามาเก้ก่าว - คุณอย่ามาเซ้าซี้ (จ., ภ.ก.)."
เก้ง,,น.,"น., ไม้สอดใต้หางช้าง ปลายทั้งสองมีเชือกผูกยึดกับสัปคับ."
เก้งช้าง,,น.,น. กูบบนหลังช้าง มีหลังคา.
"๒. ไม้ที่ใช้ชำระหลังจากถ่ายอุจจาระ. ๓. เก๋ง. ๔. ร้านรับทรายข้างบนเหมืองแร่ (ภ.ก., พ.ง.). ก. ๑. อาการสมจรของสุนัขที่กำลังติดกันอยู่",,,
"ติดเต้ง, ติดเอ้ง, ติดเก้ง, ตอแย่ง, หมาตอแย่ง",ก็ว่า.,,
๒. เกี่ยง,,,
แก้ง,ก็ว่า.,,
"๓. เรียกอาการที่สัตว์ดีด เช่น ม้าเก้งเด็ก - ม้าดีดเด็ก. ๔. ค้างคา, ทำไม่เสร็จแล้วทิ้งไว้, ไม่ล้าง เช่น เก้งถ้วย - ไม่ล้างจานแล้วทิ้งไว้, เก้งขี้ - ถ่ายอุจจาระแล้วไม่ล้างปล่อยให้แห้งติดก้น. ว. อาการตวัดเท้าไปข้างหลังของคนหรือสัตว์เรียก ""ลูกเก้ง"".",,,
เกงเหลง,,ว.,"ว. ไม่เอางาน, เกะกะ."
เกณฑ์,,น.,"น., โชคชะตา."
เกณฑ์โค่,,น.,น. เนื้อคู่.
เกณฑ์ชี้ตา,,น.,น. เกณฑ์ชะตา.
เกณฑ์ดอ,,น.,น. ชายที่มีโอกาสได้ร่วมเพศกับผู้หญิงหลาย ๆ คน.
เกณฑ์ดี,,น.,น. โชคดี.
เกณฑ์ปาก,,น.,น. ลาภปาก.
เกณฑ์มือ,,น.,น. มือขึ้น.
เกณฑ์หี,,น.,น. สตรีที่โชคดีในการได้คู่ครองที่ดี.
"๒. กะเกณฑ์, บังคับ. ก. กำหนด.",,,
เก็ดเปี้ย,,น.,น. ส้มจี๊ด (ดู เก็ดหลา).
เก็ดหลา,,น.,"น. ส้มจี๊ด, ส้มชนิดหนึ่ง ลักษณะคล้ายส้มเขียวหวาน ผลเล็กกว่ามะนาว รสเปรี้ยว"
"เก็ดเปี้ย, ส้มเก็ดหลา (ภ.ก.), เกล่า, ชมเกล่า (ร.น.)",ก็เรียก.,,
เก็ดเหลง,,น.,น. ไอศกรีม (ดู กิ๊ดเหล้ง).
เก็ดฮ่องเตี๋ยว,,น.,น. ขนมโก๋อ่อน (ดู เกียดฮ่องเตี๋ยว).
เก่เตี้ยว,,ว.,"ว. ก้าวก่ายยุ่งเรื่องคนอื่น (จ., ภ.ก.)."
เก่เตี้ยวโป๋,,สำ.,สำ. ผู้หญิงที่ชอบยุ่งเรื่องผู้อื่น.
เก็บ,,ก.,"ก., เก็บ, ออม, ประหยัด."
เก็บชุน (ส.ฎ.).,,สำ.,สำ. เก็บหอมรอมริบ
เก็บเล็ม (น.ธ.).,,ก.,ก. เก็บเล็กผสมน้อย
๒. เก็บเกี่ยว เช่น เก็บข้าว - เก็บข้าว,,,
เก็บเซ้ว,,น.,"น. หม้อต้มยา มีด้ามจับและปากยื่นเป็นกรวย สำหรับรินน้ำ (ภ.ก.)., ก. เก็บค่าเช่าที่ขายของ"
เก็บค่าเซ้ว,ก็ว่า.,,
เก้เปียะ,,น.,"น. ฝาผนังบ้านที่ใช้ร่วมกันหรือติดกัน., ก. อยู่ติดกัน (จ., ภ.ก., พ.ง.)."
เกย,,น.,"น., ตัวยิงในการเล่นพื้นบ้าน เช่น เล่นฟัดราว เล่นยิงสะบ้าหรือเล่นอย่างอื่นที่คล้ายคลึงกัน เช่น โลกเกยหนวยนี้ดีจัง - ตัวยิงตัวนี้ใช้ได้ผลดียิ่ง"
"อี้เกย, อี้เดย, เดย",ก็เรียก.,,
๒. พื้นเรือนใหญ่ที่สูงกว่าระเบียง (ดู นอกเกย). ก. ๑. ก่าย เช่น อย่านอนเอาขาเกยเพื่อน - อย่านอนเอาขาก่ายเพื่อน. ๒. ติดตื้น เช่น เรือเกยหลิง - เรือติดอยู่บนตลิ่ง.,,,
เกร็ด,,ก.,ก. ตัดด้วยพร้า เช่น เกร็ดกิ่งไม้ (ช.พ.)
เกล็ด,ก็ว่า.,,
เกรย,,น.,น. หญ้าเจ้าชู้ (ดู.ขี้เตรย).
เกรอะ,,ก.,ก. เอาแป้งบดห่อผ้าแล้วแขวนไว้หรือใช้ของหนักทับให้สะเด็ดน้ำ.
เกราะ,,น.,"น., กระดึงสำหรับผูกคอวัวควาย"
"เขลาะ (น.ธ.), หล้อ (พ.ท., น.ศ.)",ก็เรียก.,,
๒. เครื่องตีทำด้วยไม้ไผ่ เพื่อตีเป็นสัญญาณนัดหมาย. ๓. เกราะ (ดู กร้อ น. ๒.).,,,
เกริน,,ว.,"ว., จืด ใช้กับดิน เช่น ดินเกริน., ตื้นเขิน เช่น คูนี้เกรินเสียแล้ว - คูนี้ตื้นเขินเสียแล้ว"
"เกลิน, เตริน",ก็ว่า.,,
เกริ่มกร่าม,,ว.,"ว., ซุ่มซ่าม เช่น เด็กนี้แลเกริ่มกร่าม - เด็กนี้ดูซุ่มซ่าม"
"เคลิ่มคล่าม, เคริ่มคราม (น.ศ.)",ก็ว่า.,,
๒. ละลาบละล้วง.,,,
เกรียก,,ก.,"ก. ผ่าไม้ออกเป็นชิ้นเล็ก ๆ (ดู เตรียก, ก.)."
เกรียด,,ก.,ก. เกี่ยงกัน เช่น หวงแต่อี้เกรียดกัน - มัวแต่เกี่ยงกัน
"เกียด, เตรียด, เสียด",ก็ว่า.,,
เกรียม,,ก.,ก. เตรียม เช่น เกรียมตัวไว้สักเดียวจะมารับ - เตรียมตัวสักประเดี๋ยวจะมารับ
"กระเกรียม, เปรียม",ก็ว่า.,,
ว. ๑. ไหม้เกรียม. ๒. กรอบ.,,,
เกล็ด,,น.,"น., ส่วนที่เป็นแผ่นซ้อนเหลื่อมกันห่อหุ้มตัวปลา และสัตว์เลื้อยคลานบางชนิด., สิ่งที่แข็งตัวฺเป็นแผ่นบาง ๆ คล้ายเกล็ดปลา เช่น เกล็ดพิมเสน, น้ำตาลขึ้นเกล็ด, โดยปริยายหมายถึงสิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น บานเกล็ด, ฝาเกล็ด, เกล็ดเสื้อ."
เกล็ดช่วง,,น.,น. เกล็ดของไก่ชนที่ไม่มีเหน็บหรือมีเกล็ดพันเลย เป็นลักษณะที่ดีอย่างหนึ่ง ไก่ที่มีลักษณะเช่นนี้ ถ้าชนะก็จะชนะเร็ว ถ้าแพ้ก็จะแพ้เร็ว.
เกล็ดพัน,,น.,น. เกล็ดของไก่ชนที่พันรอบหน้าแข้ง ถ้าเป็นเกล็ดพันที่ข้อเท้า เรียกว่า พันรับน้ำฝน เป็นลักษณะที่ดีอย่างหนึ่ง.
"๓. เศษ, เดน เช่น เกล็ดผ้า - เศษผ้า. ก. ๑. ขบเม็ดให้แตกแล้วคายเปลือกทิ้ง กินแต่เนื้อใน เช่น นกเกล็ดข้าว. ๒. กัดแทะ เช่น หนูเกล็ดผ้า",,,
เกล็ดดี,,น.,"น. โรคชนิดหนึ่งที่เกิดขึ้นที่ตาเด็ก หรือเรียกผิวหนังที่แห้งขึ้นเป็นเกล็ด ๆ., ว. ลักษณะดี, วงศ์ตระกูลดี ใช้กับไก่ชน มีหลายลักษณะ เช่น พันหัวข้อหรือพันรับน้ำฝน, เหน็บชงเดือ, หน้าดานหลบ, เบี้ยนำเดือย, ลักเค้า., สำ. ใช้เปรียบเทียบกับคนและสัตว์อื่น ๆ ว่ามีลักษณะดีหรือวงศ์ตระกูลดี เช่น อ้ายบาวหนี้เกล็ดดี - หนุ่มคนนี้มีลักษณะดี."
เกล็ดทวน,,น.,น. งูสามเหลี่ยม (ก.บ.).
เกล็ดนาค,,น.,น. ชื่อไม้เถาเลื้อยเกาะพันต้นไม้อื่น วงศ์ Asclepiadaceae ใบเดี่ยวเรียงตรงข้ามกัน ดอกเล็กรูปโคมสีเหลือง
อูบีแกแน (มลายู - น.ธ.),ก็เรียก.,,
เกล็ดนาคราช,,น.,น. ชื่อพืชพวกเฟิน วงศ์ Polypodiaceae ใบเดี่ยว เรียงสลับเว้นระยะห่าง เป็นพืชสมุนไพร.
เกล็ดยอด,,สำ.,สำ. กำราบเสียแต่ทีแรก ผู้ใหญ่กีดกันไม่ให้ผู้น้อยก้าวหน้า
แด็ดยอด,ก็ว่า.,,
เกล็ดลิ่น,,น.,"น., ผิวหนังที่แห้งแล้วแตกลายเป็นเกล็ดตามหน้าแข้ง., โรคผิวหนังชนิดหนึ่งที่ผิวแห้งแตกระแหงเป็นเกล็ด., แกงมะละกอที่ฝานเป็นชิ้นบาง ๆ คล้ายเกล็ดตัวนิ่มเรียก ""แกงเกล็ดลิ่น""., ชื่อไม้พุ่มชนิดหนึ่ง"
หางสีน,ก็เรียก.,,
เกลอ,,น.,"น. เกลอ, เพื่อนที่สัญญาว่าจะรักกันเหมือนพี่น้องท้องเดียวกัน เรียกบิดามารดาของเกลอว่าพ่อแม่ เช่นเดียวกับบิดามารดาตน."
เกฺลา,,ก.,"ก. ตำข้าวพอให้เปลือกแตกออก (ดู กล้อง, ก., )."
เกเล่,,น.,น. ส้มจี๊ด (ดู เก็ดหล้า).
เกลิน,,ว.,"ว. ตื้นเขิน (ดู เกริน, ว., )."
เกลี้ยง,,ว.,"ว. หมด, สะอาด"
"เกลี้ยงกลิบ, เกลี้ยงครวน, เกลี้ยงฉาด, เกลี้ยงเผ็ก, เกลี้ยงแผว, เกลี้ยงแวว, เกลี้ยงแผลว, เกลี้ยงแพลม",ก็ว่า.,,
เกลียด,,ก.,"ก. ฉุน, โกรธ (ดู หวิบ)."
เกลียดแล,,ก.,"ก., ไม่ชอบ เช่น อย่านั่งพันนั้น กูเกลียดแล - อย่านั่งอย่างนั้นฉันไม่ชอบ., หมั่นไส้, ขัดหูขัดตา."
เกลียวดำ,,น.,"น. ตะคริว (ดู ซิว, น., )."
เกลือก,,ก.,"ก., กลิ้ง, คลุก, ดิ้น., เชื่อมน้ำตาล เช่น เกลือกมัน - เชื่อมมัน."
เกลือเคย,,น.,น. น้ำปลาหวานซึ่งเป็นสูตรเฉพาะใส่กะปิ ไม่เหมือนของภาคกลาง (ภ.ก.).
เกว้,,ก.,"ก. เหวี่ยง, เลื่อนของหนัก โดยใช้วิธีเหวี่ยง เช่น ช่วยเกว้ไม้นี้ให้ที - ช่วยเหวี่ยงไม้นี้ให้หน่อย., ว. เห, เฉ, ไปข้าง, เอียง, ลาด"
"เล้, เหล่, เหล้",ก็ว่า.,,
เก่ว,,น.,"น. เกี้ยวสำหรับอัญเชิญรูปแกะสลักพระจีนมาประทับเพื่อใช้แห่ (จ., ภ.ก., พ.ง.)."
เก่โหย,,น.,"น. ทรัพย์สมบัติ เช่น นั่งเฝ้าแต่เก่โห่ย - นั่งเฝ้าแต่ทรัพย์สมบัติ (จ., ภ.ก., พ.ง.)."
เก๊อ้า,,น.,"น. หิ้ง เช่น หยิบของบนเก๊อ้ามาให้หี - หยิบของบนหิ้งมาให้ที (จ., ภ.ก.)."
เกะ,,น.,"น., ช่องใส่ของใช้ หรือเครื่องมือในรถยนต์ใกล้คนขับ., ลิ้นชัก, หีบมีลิ้นชักใช้เก็บเงินในร้านค้า., ว. ไม่เป็นระเบียบ เช่น เด็กคนนี้ฟันเกะ - เด็กคนนี้ฟันไม่เป็นระเบียบ"
เกาะ,,น.,"น., เกาะ, ส่วนของแผ่นดินที่มีน้ำล้อมรอบโดยตลอด และมีขนาดเล็กกว่าแผ่นดินที่เป็นทวีป., พุ่มไม้หรือเนินสูงในที่ราบ., ค่าปรับ (น.ศ.)., ก., ยึดเป็นตัวประกัน, ควบคุมตัว., จับ, กุม, ยึด, ถือ, เหนี่ยวรั้ง., การดูดหนองออกจากร่างกาย หรือดูดนมออกจากเต้านม โดยวิธีสุญญากาศ."
เกิด,,ก.,"ก. คลอด, ตกลูก เช่น สาวแดงเกิดแล้วแรกคืน - นางแดงคลอดลูกแล้วเมื่อคืน."
เกิดโหฺมโพจร,,สำ.,สำ. ขยายพงศ์พันธุ์ออกไปมาก.
เกี้ย,,ก.,"ก. กลัว (จ., ภ.ก.)."
เกี๋ย,,น.,น. เพื่อนเจ้าบ่าว
ผัวะเกี๋ย (ภ.ก.),ก็เรียก.,,
เกียง,,น.,"น. ตะเกียง, อุปกรณ์สำหรับให้แสงสว่าง มีรูปต่าง ๆ บางชนิดมีหลอดบังลม."
เกียงกล้อง,,น.,น. ตะเกียงที่มีกระเปาะแก้ว ครอบดวงไฟ เพื่อป้องกันลมไม่ไห้ตะเกียงดับ.
เกียงแกด,,น.,"น. ตะเกียงที่ใช้แก๊สหรือแคลเซียมคาร์ไบด์เป็น ๆ เชื้อเพลิง, ตะเกียงที่ผูกไว้ที่ศีรษะ เพื่อใช้กรีดยาง"
"เกียงฉอด, เกียงตัดยาง, เกียงโหล้ยาง, เกียงเอี่ยนถอ, เกียงเตียนถอ (ภ.ก., พ.ง.)",ก็เรียก.,,
เกียงแกบ,,น.,น. ไฟฉาย (น.ศ.)
"ไฟแขบ (ส.ข.), ไฟแกบ (ภ.ก., พ.ง.), ไฟอั้งแพลม, ไฟแฉ็ง (ส.ฎ.)",ก็เรียก.,,
เกียงขลุก,,น.,น. ตะเกียงทำด้วยขวด ไม่มีไส้ใช้จุกแทนไส้ เขย่าให้น้ำมันไปถูกจุกเป็นคราว ๆ.
เกียงแขวน,,น.,น. ตะเกียงมีเพิงกำบังลมแขวนได้.
เกียงไขไก,,น.,น. ตะเกียงใบเล็ก ๆ
"เกียงไขแป็ด, เกียงค้างคก",ก็เรียก.,,
เกียงเจ้าพาโยะ,,น.,น. ตะเกียงเจ้าพายุ.
เกียงป็อง,,น.,น. ตะเกียงทำด้วยกระป๋อง
เกียงสังสี,ก็เรียก.,,
เกียงรั้ว,,น.,น. ตะเกียงรั้ว.
เกียงเรือเซียด,,น.,น. ตะเกียงใช้น้ำมันก๊าดวางไว้ในกล่องไม้ ป้องกันไม่ให้ลมพัดดับตะเกียงได้ ใช้กับเรือเซียด
เกียงลาน,,น.,น. ตะเกียงชนิดไขลานให้ใบพัดหมุนเป่าลมไล่ควันและช่วยให้ไฟสว่างนวล.
"ว. เกี่ยง, เอาเปรียบ.",,,
เกียด,,น.,"น., นกรุ้ง, ชื่อเหยี่ยวขนาดใหญ่ ตัวสีน้ำตาลเข้ม มีลายจุดขาวที่หัว ปีก และท้อง หางสีน้ำตาลพาดขาว มีพู่ขนตรงต้นคอ ซึ่งจะแผ่ออกเห็นได้ชัดเวลาโกรธหรือต่อสู้กัน., ชื่อตัวปลวกชนิดหนึ่ง., ก., เกี่ยงกัน (ดู เกรียด)., อาการของไก่ตัวผู้ที่ขยับปีกวนรอบไก่ตัวเมีย., ช้อน, ตักออก, ปาดให้เสมอ เช่น เกียดน้ำหม้อทุ่ม - ช้อนน้ำข้าวทิ้ง, เกียดปลาทุ่ม - ช้อนปลาทิ้ง"
เลี้ยด,ก็ว่า.,,
"๔. รู้ตัวว่าภัยจะมา (ใช้กับสัตว์) เช่น นั่งห้างไม่ได้ผลเพราะสัตว์มันเกียดเสียแล้ว - นั่งห้างไม่ได้ผลเพราะสัตว์ป่ารู้ตัวเสียก่อน. ๕. คัด,, เลือก เช่น เกียดกุ้งทำเคย -เลือกกุ้งทำกะปิ. ๖. ค่อย ๆ ต้อน เช่น เกียดวัวให้ชนกัน - ต้อนวัวให้ชนกันใหม่.",,,
เกียดเหลียง,,น.,น. ไอศกรีม (ดู กิ๊ดเหล้ง).
เกียดฮ่องเตี๋ยว,,น.,น. ขนมโก๋อ่อน
"เก็ดฮ่องเตี๋ยว, หนมไขตาแป๊ะ, หนมคนเฒ่า (จ., ภ.ก., พ.ง.)",ก็เรียก.,,
เกียน,,น.,"น. เกวียน, ยานชนิดหนึ่งมี ๒ ล้อ ใช้ควายหรือวัวเทียม., เกรียงปูน เป็นเครื่องมือสำหรับใช้ในการถือปูน ทำด้วยไม้หรือเหล็ก เป็นรูปแบนๆ"
"เขลียง, จา, โห้ยสี, หั้วสี (ภ.ก., พ.ง.)",ก็เรียก.,,
