Word,Alternative Forms,POS,Definition
"๒. กระสอบ เช่น “เสด็จขึ้นปรางมาศปราสาทเตย เอาเศียรเกยสอบกรงแล้วร้องสั่ง"" (กลอนหนังตะลุง). ๓. กรง, สิ่งที่ทำเป็นซี่ ๆ สำหรับขังนก เป็นต้น ตั้งอยู่กับที่หรือยกไปได้.",,,
กรงกราด,,น.,น. สุ่มขังไก่ชนสานด้วยไม้ไผ่
กรงตราด (ส.ฎ.),ก็เรียก.,,
กรงหมี,,น.,น. ห้องขังที่สถานีตำรวจ
คอกหมี,ก็เรียก.,,
"ว. ตรง เช่น ยืนกรง - ยืนตรง, เดินกรง - เดินตรง.",,,
กรงเหมา,,น.,น. ชื่อพืชสมุนไพรชนิดหนึ่ง หัวใช้ทำยา
กรุงเหมา,ก็เรียก.,,
กรงไหน,,น.,น. ชื่อไม้ต้น คล้ายต้นไข่เน่า.
กรด,,น.,"น., น้ำกรด"
น้ำไฟ,ก็เรียก.,,
"๒. ชื่อไม้เถา มักขึ้นในที่น้ำท่วม เช่น ตามฝั่งน้ำลำคลอง ใบโดยมากออกรอบข้อ ๒ หรือ ๓ ใบ ใบอ่อนสีม่วงดำ เมื่อแก่เปลี่ยนเป็นสีเขียว ผลมีสันแข็งเป็น ๔ - ๕ ครีบ. ว. ๑. จัดจ้าน, ดื้อรั้น, กล้าแข็ง เช่น แด็กคนนี้กรดจ้านด่าเพื่อนทั้งวัน - เด็กคนนี้จัดจ้านมาก ด่าเพื่อนทั้งวัน",,,
กล็อด,ก็ว่า.,,
ว. ๒. ข้อเท้าพิการต้องใช้ปลายเท้าจรดเดิน เรียกว่า ตีนกรด,,,
ตีนตรด,ก็ว่า.,,
กรน,,น.,"น. กระสวย (ดู ตรน, น., )."
กรม,,ว.,"ว. ตรมตรอม, เป็นทุกข์."
กรมใจ,,ก.,"ก. ตรมใจ, ระทม, เจ็บอยู่ภายในเรื่อยไป."
กรมหนอง,,ว.,ว. กลัดหนอง
"กรมแผล, เคี่ยวหนอง",ก็ว่า.,,
กรวก,,ก.,"ก., จวก, สับ, ฟัน เช่น กรวกดิน - ฟันดิน., ผ่าไม้ออกเป็นชิ้นเล็ก ๆ (ดู เตรียก, ก.)."
กรวกคอ,,ก.,ก. กลั้วคอ
กรวด,,น.,"น., กรวดทราย, ก้อนหินเล็ก ๆ., ดอกไม้ไฟชนิดหนึ่ง"
ตรวด,ก็เรียก.,,
๓. ของเด็กเล่นอย่างหนึ่ง ใช้ใบเตยทำเป็นรูปอย่างจรวด ใช้พุ่งไปในอากาศ. ๔. น้ำตาลที่เป็นก้อนแข็งเหมือนกรวด. ก. ๑. ตรวจตรา,,,
กรวดกรา,ก็ว่า.,,
"ก. ๒. รดน้ำเพื่อชำระแผล. ว. สูง, ชัน เช่น หลังคากรวด - หลังคาทรงสูง.",,,
กรวดกรา,,ก.,"ก. ตรวจตรา (ดู กรวด, ก., )."
กรวน,,น.,"น., โซ่ตรวน, เครื่องจองจำนักโทษชนิดหนึ่ง เป็นห่วงเหล็กใช้สวมขานักโทษ มีโช่ล่ามถึงกัน"
ตรวน,ก็เรียก.,,
"๒. กระต่ายขูดมะพร้าวแบบจีน. ก. ๑. ไสไป, ดันไป",,,
"กรูน, ตรูน",ก็ว่า.,,
ก. ๒. ขูดด้วยกระต่ายขูดมะพร้าวแบบจีน.,,,
กรวบ,,ว.,"ว., เปราะ, กรอบ., ถนัดถนี่ เช่น เอาให้กรวบเลย., เสียงดังเช่นนั้น."
กรวม,,ก.,"ก. สวม, คร่อม, ครอบ เช่น นุ่งผ้ากรวมอก - นุ่งผ้ากระโจมอก"
"กรอม, กลวม, ตรวม, อวม",ก็ว่า.,,
กรวมกราม,,ก.,ก. ทำละลาบละล้วง.
กรวมคอ,,ก.,"ก. คร่อมคอ,, สำ. หาเรื่องใส่ตัว."
กรวมง่าม,,สำ.,สำ. สองแง่สองมุม.
กรวมเงี่ยง,,น.,"น. ที่สวมเดือยไก่ชน,, สำ. ลับ ๆ ล่อ ๆ."
กรวมชาย,,ว.,"ว. นุ่งผ้ายาวระพื้น, กรวมเท้า เช่น นุ่งผ้ากรวมชาย"
กรวมเชิง,ก็ว่า.,,
กรวมตอ,,ก.,"ก. นุ่งผ้ากระโจมอก.,, สำ. เชื่อว่าไม่ดี เป็นอัปมงคล เช่น ปลูกเรือนกรวมตอ หมายถึง การรับหญิงที่มีครรภ์กับชายอื่นมาเป็นกรรยา."
กรวมตา,,ก.,"ก. สอดส่ายสายตา, ตรวจสอบใหม่."
